,Image,F1,Jaccard,Recall,Precision
276,2571.png,0.9023600185099492,0.8220910623946037,0.8220910623946037,1.0
277,1269.png,0.9487870619946093,0.9025641025641026,0.946236559139785,0.9513513513513514
278,985.png,0.6019417475728156,0.4305555555555556,0.48186528497409326,0.8017241379310345
279,847.png,0.30094043887147337,0.17712177121771217,0.17799752781211373,0.972972972972973
280,1218.png,0.8688946015424165,0.7681818181818182,0.8894736842105263,0.8492462311557789
281,926.png,0.9201101928374656,0.8520408163265306,0.9881656804733728,0.8608247422680413
282,2029.png,0.8087731322823852,0.6789413118527042,0.7151515151515152,0.9305993690851735
283,559.png,0.9155937052932762,0.8443271767810027,0.8839779005524862,0.9495548961424333
284,16.png,0.8860103626943004,0.7953488372093023,0.9606741573033708,0.8221153846153846
285,1972.png,0.8601716304896516,0.7546501328609388,0.9281045751633987,0.8015051740357478
286,2837.png,0.0,0.0,0.0,0.0
287,1050.png,0.9281831187410586,0.8659903897490657,0.8796095444685467,0.982434887946699
288,2971.png,0.8339801638637344,0.7152366863905325,0.7717478052673583,0.9071294559099438
289,1988.png,0.0,0.0,0.0,0.0
290,949.png,0.8741159830268741,0.7763819095477387,0.8679775280898876,0.8803418803418803
291,2633.png,0.0,0.0,0.0,0.0
292,1410.png,0.7611940298507461,0.6144578313253012,0.6435331230283912,0.9315068493150684
